"Tag Code","Event File Name","Event Type Name","Event Capture Method Name","Event Capture Method Code","Event Site Name","Event Site Code Value","Event Date MMDDYYYY","Event Date Time Value","Event Release Site Name","Event Release Date MMDDYYYY","Event Release Date Time Value","Event Rear Type Name","Event Rear Type Code","Event Species Code","Event Species Name","Event SRR Code","Event SRR Name","Event Conditional Comments Code","Event Conditional Comments Name","Mark File Name","Mark Data Project Code and Name","Mark Species Name","Mark Rear Type Name","Mark Site Code Value","Mark Date MMDDYYYY","CTH Count"
"3DD.003D57F3ED","ILR-2021-287-LEM.xml","Recapture","Screw Trap","SCREWT","LEMTRP - Upper Lemhi River Rotary Screw Trap","LEMTRP","10/14/2021","10/14/2021 9:20:37 AM","LEMTRP - Upper Lemhi River Rotary Screw Trap","10/14/2021","10/14/2021 9:20:37 AM","Wild Fish or Natural Production","W","1","Chinook","11W","Wild Spring Chinook","RE","Recapture","ILR-2021-286-LEM.xml","ILR - IDFG Lemhi River Basin Projects","Chinook","Wild Fish or Natural Production","LEMTRP","10/13/2021","1"
"3DD.003D57F3EE","ILR-2021-286-LEM.xml","Mark","Screw Trap","SCREWT","LEMTRP - Upper Lemhi River Rotary Screw Trap","LEMTRP","10/13/2021","10/13/2021 9:17:02 AM","LEMTRP - Upper Lemhi River Rotary Screw Trap","10/13/2021","10/13/2021 9:17:02 AM","Wild Fish or Natural Production","W","1","Chinook","11W","Wild Spring Chinook","","","ILR-2021-286-LEM.xml","ILR - IDFG Lemhi River Basin Projects","Chinook","Wild Fish or Natural Production","LEMTRP","10/13/2021","1"
"3DD.003D57F3EE","ILR-2021-287-LEM.xml","Recapture","Screw Trap","SCREWT","LEMTRP - Upper Lemhi River Rotary Screw Trap","LEMTRP","10/14/2021","10/14/2021 9:57:29 AM","LEMTRP - Upper Lemhi River Rotary Screw Trap","10/14/2021","10/14/2021 9:57:29 AM","Wild Fish or Natural Production","W","1","Chinook","11W","Wild Spring Chinook","RE","Recapture","ILR-2021-286-LEM.xml","ILR - IDFG Lemhi River Basin Projects","Chinook","Wild Fish or Natural Production","LEMTRP","10/13/2021","1"
"3DD.003D57F3EF","ILR-2021-286-LEM.xml","Mark","Screw Trap","SCREWT","LEMTRP - Upper Lemhi River Rotary Screw Trap","LEMTRP","10/13/2021","10/13/2021 9:27:03 AM","LEMTRP - Upper Lemhi River Rotary Screw Trap","10/13/2021","10/13/2021 9:27:03 AM","Wild Fish or Natural Production","W","1","Chinook","11W","Wild Spring Chinook","","","ILR-2021-286-LEM.xml","ILR - IDFG Lemhi River Basin Projects","Chinook","Wild Fish or Natural Production","LEMTRP","10/13/2021","1"
"3DD.003D57F3F0","ILR-2021-286-LEM.xml","Mark","Screw Trap","SCREWT","LEMTRP - Upper Lemhi River Rotary Screw Trap","LEMTRP","10/13/2021","10/13/2021 9:27:34 AM","LEMTRP - Upper Lemhi River Rotary Screw Trap","10/13/2021","10/13/2021 9:27:34 AM","Wild Fish or Natural Production","W","1","Chinook","11W","Wild Spring Chinook","","","ILR-2021-286-LEM.xml","ILR - IDFG Lemhi River Basin Projects","Chinook","Wild Fish or Natural Production","LEMTRP","10/13/2021","1"
"3DD.003D57F3F1","ILR-2021-286-LEM.xml","Mark","Screw Trap","SCREWT","LEMTRP - Upper Lemhi River Rotary Screw Trap","LEMTRP","10/13/2021","10/13/2021 9:06:36 AM","LEMTRP - Upper Lemhi River Rotary Screw Trap","10/13/2021","10/13/2021 9:06:36 AM","Wild Fish or Natural Production","W","1","Chinook","11W","Wild Spring Chinook","","","ILR-2021-286-LEM.xml","ILR - IDFG Lemhi River Basin Projects","Chinook","Wild Fish or Natural Production","LEMTRP","10/13/2021","1"
"3DD.003D57F3F1","ILR-2021-287-LEM.xml","Recapture","Screw Trap","SCREWT","LEMTRP - Upper Lemhi River Rotary Screw Trap","LEMTRP","10/14/2021","10/14/2021 9:56:56 AM","LEMTRP - Upper Lemhi River Rotary Screw Trap","10/14/2021","10/14/2021 9:56:56 AM","Wild Fish or Natural Production","W","1","Chinook","11W","Wild Spring Chinook","RE","Recapture","ILR-2021-286-LEM.xml","ILR - IDFG Lemhi River Basin Projects","Chinook","Wild Fish or Natural Production","LEMTRP","10/13/2021","1"
"3DD.003D57F3F2","ILR-2021-285-LEM.xml","Mark","Screw Trap","SCREWT","LEMTRP - Upper Lemhi River Rotary Screw Trap","LEMTRP","10/12/2021","10/12/2021 8:07:13 AM","LEMTRP - Upper Lemhi River Rotary Screw Trap","10/12/2021","10/12/2021 8:07:13 AM","Wild Fish or Natural Production","W","1","Chinook","11W","Wild Spring Chinook","","","ILR-2021-285-LEM.xml","ILR - IDFG Lemhi River Basin Projects","Chinook","Wild Fish or Natural Production","LEMTRP","10/12/2021","1"
"3DD.003D57F3F2","ILR-2021-286-LEM.xml","Recapture","Screw Trap","SCREWT","LEMTRP - Upper Lemhi River Rotary Screw Trap","LEMTRP","10/13/2021","10/13/2021 9:28:06 AM","LEMTRP - Upper Lemhi River Rotary Screw Trap","10/13/2021","10/13/2021 9:28:06 AM","Wild Fish or Natural Production","W","1","Chinook","11W","Wild Spring Chinook","RE","Recapture","ILR-2021-285-LEM.xml","ILR - IDFG Lemhi River Basin Projects","Chinook","Wild Fish or Natural Production","LEMTRP","10/12/2021","1"
"3DD.003D57F3F3","ILR-2021-285-LEM.xml","Mark","Screw Trap","SCREWT","LEMTRP - Upper Lemhi River Rotary Screw Trap","LEMTRP","10/12/2021","10/12/2021 8:13:14 AM","LEMTRP - Upper Lemhi River Rotary Screw Trap","10/12/2021","10/12/2021 8:13:14 AM","Wild Fish or Natural Production","W","1","Chinook","11W","Wild Spring Chinook","","","ILR-2021-285-LEM.xml","ILR - IDFG Lemhi River Basin Projects","Chinook","Wild Fish or Natural Production","LEMTRP","10/12/2021","1"
